tac;make;model
35153306;Samsung;Galaxy S IV Mini (I9195)
35698505;Samsung;Galaxy S IV Zoom (SM-C101)
35374806;Samsung;Galaxy S5 (G900F)
35380106;Samsung;Galaxy S5 (G900F)
35372606;Samsung;Galaxy S5 (G900F)
35676506;Samsung;Galaxy S5 (G900F)
35255806;Samsung;Galaxy S5 (G900F)
35488606;Samsung;Galaxy S5 (G900F)
35375006;Samsung;Galaxy S5 (G900F)
35374906;Samsung;Galaxy S5 (G900F)
35610006;Samsung;Galaxy S5 (G900F)
35368706;Samsung;Galaxy S5 (G900F)
35322206;Samsung;Galaxy S5 (G900F)
35774906;Samsung;Galaxy S5 (G900F)
35535406;Samsung;Galaxy S5 mini
35609906;Samsung;Galaxy S5 mini
35984506;Samsung;Galaxy S6
35993706;Samsung;Galaxy S6
35214807;Samsung;Galaxy S6
35952106;Samsung;Galaxy S6 Edge
35952306;Samsung;Galaxy S6 Edge
35569104;Samsung;Galaxy Tab 10.1v
35775004;Samsung;Galaxy Tab 10.1v
35986104;Samsung;Galaxy Tab 2 10.1
35569505;Samsung;Galaxy Tab 2 10.1
35779905;Samsung;Galaxy Tab 2 10.1
35431405;Samsung;Galaxy Tab 2 10.1
35936005;Samsung;Galaxy Tab 3 10.1
63376093;Samsung;Galaxy Tab 3 7.0
35764705;Samsung;Galaxy Tab 3 7.0
54312222;Samsung;Galaxy Tab 3 Kids
54312221;Samsung;Galaxy Tab 3 Kids
35711304;Samsung;Galaxy Tab 8.9
35296104;Samsung;Galaxy Tab P1000
35394204;Samsung;Galaxy Tab P1000
35322006;Samsung;Galaxy Tab S 8.4 LTE (SM-T705)
35431222;Samsung;Galaxy Tab2 7
35750805;Samsung;Galaxy Trend
35152706;Samsung;Galaxy Trend
35917005;Samsung;Galaxy Trend
35614506;Samsung;Galaxy Trend 2 (SM-G313HN)
35596206;Samsung;Galaxy Trend Plus C
35970205;Samsung;Galaxy Trend Plus S7580
35373806;Samsung;Galaxy Trend Plus S7580
35490006;Samsung;Galaxy Trend Plus S7580
35291306;Samsung;Galaxy Trend Plus S7580
35834204;Samsung;Galaxy W
35925904;Samsung;Galaxy Y (S5360)
35466105;Samsung;Galaxy Y (S5360)
35996104;Samsung;Galaxy Y (S5360)
35525305;Samsung;Galaxy Y (S5360)
35424305;Samsung;Galaxy Y (S5360)
35182405;Samsung;Galaxy Y (S5360)
35217205;Samsung;Galaxy Y (S5360)
35294605;Samsung;Galaxy Y (S5360)
35889404;Samsung;Galaxy Y (S5360)
35626805;Samsung;Galaxy Young (S6310)
35978005;Samsung;Galaxy Young (S6310)
35188506;Samsung;Galaxy.Tab4 10.1 (SM-T535)
35395504;Samsung;GT-B3410
35952603;Samsung;GT-B3410
35406804;Samsung;GT-C3530
35354704;Samsung;GT-C3530
35587404;Samsung;GT-E1080
35735505;Samsung;GT-E1200
35186105;Samsung;GT-E1200
35585005;Samsung;GT-E1200
35373606;Samsung;GT-E1200
35779405;Samsung;GT-E1200
35689306;Samsung;GT-E1200
35421405;Samsung;GT-E1200
35492703;Samsung;GT-E2120 
35415004;Samsung;GT-E2370
35602604;Samsung;GT-I5500
35479604;Samsung;GT-I5500
35976303;Samsung;GT-I5500
35992503;Samsung;I5800
35182005;Samsung;Keystone
35964504;Samsung;Keystone
35215905;Samsung;Keystone
35995404;Samsung;Keystone
35592104;Samsung;Nexus S (I9023)
35367904;Samsung;Omnia 7 (I8700)
35526405;Samsung;Primo (S5610)
35363005;Samsung;Primo (S5610)
35817304;Samsung;Primo (S5610)
35693905;Samsung;Primo (S5610)
35597604;Samsung;S3350
35388604;Samsung;S3350
35478603;Samsung;S3500i
35938103;Samsung;S3550
35892402;Samsung;S3600
35653802;Samsung;S3600
35488103;Samsung;S3650
35856803;Samsung;S3650
35949202;Samsung;S5050
35517603;Samsung;S5200
35980204;Samsung;S5220 (Star 3)
35187805;Samsung;S5220 (Star 3)
35537105;Samsung;S5220 (Star 3)
35966203;Samsung;S5230 (Star)
35505704;Samsung;S5230 (Star)
35304404;Samsung;S5230 (Star)
35175004;Samsung;S5230 (Star)
35870003;Samsung;S5230 (Star)
35795203;Samsung;S5230 (Star)
35694804;Samsung;S5230 (Star)
35210404;Samsung;S5230 (Star)
35345804;Samsung;S5230 (Star)
35516604;Samsung;S5230 (Star)
35767603;Samsung;S5230 (Star)
35255704;Samsung;S5230 (Star)
35505104;Samsung;S5230 (Star)
35795303;Samsung;S5230 (Star)
35795103;Samsung;S5230 (Star)
35671203;Samsung;S5230 (Star)
35753003;Samsung;S5230 (Star)
35604404;Samsung;S5260 (Star 2)
35692104;Samsung;S5260 (Star 2)
35476804;Samsung;S5330
35273105;Samsung;S5380 (Wave Y)
35264103;Samsung;S5600
35948605;Samsung;S5610
35915805;Samsung;S5611
35769206;Samsung;S5611
35858003;Samsung;S5620
35861503;Samsung;S7070
35704103;Samsung;S8000
35479804;Samsung;S8530 (Wave II)
35977301;Samsung;SGH-C260
35977201;Samsung;SGH-C260
35744901;Samsung;SGH-C260
35556702;Samsung;SGH-C260
35467601;Samsung;SGH-C300
35315601;Samsung;SGH-C300
35977401;Samsung;SGH-C520
35754801;Samsung;SGH-C520
35532401;Samsung;SGH-C520
35250203;Samsung;SGH-E2210
35615402;Samsung;SGH-E250
35829701;Samsung;SGH-E250
35615302;Samsung;SGH-E250
35977601;Samsung;SGH-E250
35670001;Samsung;SGH-E250
35785401;Samsung;SGH-E250
35473202;Samsung;SGH-E250
35829501;Samsung;SGH-E250
35829801;Samsung;SGH-E250
35455803;Samsung;SGH-E250i
35803603;Samsung;SGH-E250i
35517403;Samsung;SGH-E250i
35237603;Samsung;SGH-E250i
35413604;Samsung;SGH-E2550
35689104;Samsung;SGH-E2550
35517004;Samsung;SGH-E2550
35309304;Samsung;SGH-E2550
35659104;Samsung;SGH-E2550
35255101;Samsung;SGH-F300
35812801;Samsung;SGH-F700
35620401;Samsung;SGH-J610
35991301;Samsung;SGH-J700
35772302;Samsung;SGH-J700
35420702;Samsung;SGH-J700
35245003;Samsung;SGH-J700I
35770003;Samsung;SGH-J700I
35157902;Samsung;SGH-L310
35342102;Samsung;SGH-L810v
35634101;Samsung;SGH-P520
35810501;Samsung;SGH-U600
35991501;Samsung;SGH-U600
35880301;Samsung;SGH-U600
35599801;Samsung;SGH-U600
35525301;Samsung;SGH-U600
35350901;Samsung;SGH-X550
35463401;Samsung;SGH-X830
35321402;Shenzhen Kong;KB188
35461002;Sony Ericsson;G502
35665701;Sony Ericsson;K550i
35934601;Sony Ericsson;K550i
35851601;Sony Ericsson;K550i
35272502;Sony Ericsson;K550i
35452502;Sony Ericsson;R300
35791301;Sony Ericsson;T250i
35944301;Sony Ericsson;T250i
35344902;Sony Ericsson;T250i
35231304;Sony Ericsson;W100
35551004;Sony Ericsson;W100
35617504;Sony Ericsson;W100
35481404;Sony Ericsson;W100
35708504;Sony Ericsson;W100i
01238200;Sony Ericsson;W20
01253000;Sony Ericsson;W20
35165302;Sony Ericsson;W200i
35970701;Sony Ericsson;W200i
35735501;Sony Ericsson;W200i/c
35379602;Sony Ericsson;W200i/c
35809203;Sony Ericsson;W205
35783803;Sony Ericsson;W205
35489603;Sony Ericsson;W205
35947803;Sony Ericsson;W205
35896702;Sony Ericsson;W302
35653502;Sony Ericsson;W302
35489503;Sony Ericsson;W302
35790603;Sony Ericsson;W395
35633603;Sony Ericsson;W395
35902403;Sony Ericsson;W395
35876703;Sony Ericsson;W395
35236203;Sony Ericsson;W395
35526503;Sony Ericsson;W595
35526403;Sony Ericsson;W595
35842403;Sony Ericsson;W595
35296603;Sony Ericsson;W595
35941903;Sony Ericsson;X10i
35344005;Sony Ericsson;Xperia Arc S/LT18i
35850604;Sony Ericsson;Xperia Arc S/LT18i
35935304;Sony Ericsson;Xperia Arc S/LT18i
35260005;Sony Ericsson;Xperia Arc S/LT18i
35187005;Sony Ericsson;Xperia Arc S/LT18i
35226505;Sony Ericsson;Xperia P (LT22, Sony Nyphon)
35372205;Sony Ericsson;Xperia P (LT22i)
35834304;Sony Ericsson;Xperia Ray
35959004;Sony Ericsson;Xperia Ray
35356105;Sony Ericsson;Xperia U (ST25i, Kumquat)
35445705;Sony Ericsson;Xperia U (ST25i, Kumquat)
35226605;Sony Ericsson;Xperia U (ST25i, Kumquat)
35821604;Sony Ericsson;XperiaMiniPro/SK17i
35290105;Sony Ericsson;XperiaMiniPro/SK17i
35386105;Sony Ericsson;XperiaT (LT30p)
35845804;Sony;PS Vita
35742105;Sony;Xperia E
35960805;Sony;Xperia E
35638505;Sony;Xperia E
35562806;Sony;Xperia E1 - D2005
35384906;Sony;Xperia E1 - D2005
35294706;Sony;Xperia E1 - D2005
35803806;Sony;Xperia E3
35529006;Sony;Xperia E3
35813706;Sony;Xperia E4
35960306;Sony;Xperia E4 G4
35438605;Sony Ericsson;J (ST26i Jlo)
35617905;Sony Ericsson;J (ST26i Jlo)
35804605;Sony Ericsson;J (ST26i Jlo)
35546505;Sony Ericsson;J (ST26i Jlo)
35961105;Sony;Xperia L
35534106;Sony;Xperia M2
35325506;Sony;Xperia M2
35510106;Sony;Xperia M2 Aqua
35439005;Sony;Xperia Miro (ST23i)
35575705;Sony;Xperia Miro (ST23i)
35660405;Sony;Xperia SP
35757705;Sony;Xperia SP
35183006;Sony;Xperia SP
35480506;Sony;Xperia T3
35380905;Sony;Xperia Tipo (ST21i)
35587505;Sony;Xperia Tipo (ST21i)
35480705;Sony;Xperia Tipo (ST21i)
35653505;Sony;Xperia Z (C6603)
35977505;Sony;Xperia Z (C6603)
35576205;Sony;Xperia Z (C6603)
35794505;Sony;Xperia Z (C6603)
35965205;Sony;Xperia Z1 (C6903)
35809105;Sony;Xperia Z1 (C6903)
35287606;Sony;Xperia Z2
35472406;Sony;Xperia Z2
35560906;Sony;Xperia Z2
35294506;Sony;Xperia Z2 Tab
35518806;Sony;Xperia Z3
35626506;Sony;Xperia Z3
35230904;Alcatel;MISS SIXTY MSX10
35524904;Alcatel;USB modem ALC X090s
86056602;Vodafone;VF mobile router R206 WiFi
35511003;ZTE;VIP 112
35154403;Alcatel;VIP 626
35348504;Alcatel;VIP 626
35409404;Alcatel;VIP 636 (TCT ALCATEL OT-799)
86260101;Alcatel;Vip Droid XL (Alcatel OT 991)
35347204;Alcatel;Vip Easy Touch
35400703;Alcatel;Vip Easy Touch
35908103;Alcatel;Vip Easy Touch
35231402;Sagem;Vip V528 (Sagem My521X)
35974002;Huawei;VMC Stick E182e
86292601;Alcatel;Vodafone 155
35931401;Sagem;Vodafone 226
35156802;Sagem;Vodafone 226
35573001;Sagem;Vodafone 226
35455702;Sagem;Vodafone 231
35278503;ZTE;Vodafone 236
35973901;Sagem;Vodafone 526
35926202;Sagem;Vodafone 527
35195902;Sagem;Vodafone 527
35464902;Sagem;Vodafone 533
35360406;Huawei;Vodafone Mobile Wi-Fi R207 Router
35938505;Vodafone;Smart Mini
35596305;Vodafone;Smart Mini
86801700;ZTE;Vodafone Smart Tab 10.1” (ZTE WEB TAB 10)
35783205;Lenovo;Vodafone Smart Tab 3 10
35884703;Vodafone;Tiger
35643106;Yotaphone;Yotaphone 2
35316004;ZTE;Blade
35976503;ZTE;Blade G
86664301;ZTE;Blade III
86217702;ZTE;Blade Q Maxi
86231002;ZTE;Blade Q mini
86586301;ZTE;Grand X
86652602;ZTE;KIS 2
86713402;ZTE;KIS 2
86857401;ZTE;Kis Lite
86131301;ZTE;MF190 (VIP USB modem 190)
35753404;ZTE;MF190 (VIP USB modem 190)
86264801;ZTE;MF190 (VIP USB modem 190)
35635804;ZTE;MF190 (VIP USB modem 190)
86054700;ZTE;MF190 (VIP USB modem 190)
86164800;ZTE;MF190 (VIP USB modem 190)
86094200;ZTE;MF190 (VIP USB modem 190)
86763501;ZTE;MF190 (VIP USB modem 190)
86496601;ZTE;MF190 (VIP USB modem 190)
86684001;ZTE;MF190 (VIP USB modem 190)
86961501;ZTE;MF190 (VIP USB modem 190)
35618104;ZTE;MF667
86438902;ZTE;MF667
86001401;ZTE;MF667
86555902;ZTE;MF667
35990501;ZTE;MF667
86282802;ZTE;MF831
86866300;ZTE;S202
86160300;ZTE;Skate 4.3 
86858000;ZTE;Vip Droid II
35962103;ZTE;Vodafone 547
35926403;ZTE;G R221
35424903;ZTE;G R231
35329404;ZTE;RACER
